seed,epoch,step,lr,train_loss
13,1,50,6.07129336e-04,5.54589312
13,2,100,1.22562866e-03,3.84569669
13,2,150,1.84412798e-03,3.50685949
13,3,200,2.46262730e-03,2.72000569
13,3,250,2.88150004e-03,2.53874517
13,4,300,2.83246447e-03,2.02978832
13,4,350,2.77520006e-03,1.82347545
13,5,400,2.71005986e-03,1.46135732
13,6,450,2.63744547e-03,1.10472383
13,6,500,2.55780460e-03,1.05298167
13,7,550,2.47162825e-03,0.87894866
13,7,600,2.37944774e-03,0.81374223
13,8,650,2.28183137e-03,0.69973251
13,8,700,2.17938100e-03,0.66856809
13,9,750,2.07272826e-03,0.63108259
13,10,800,1.96253069e-03,0.57458471
13,10,850,1.84946772e-03,0.52708031
13,11,900,1.73423640e-03,0.48827861
13,11,950,1.61754718e-03,0.46841866
13,12,1000,1.50011948e-03,0.41660116
13,12,1050,1.38267728e-03,0.41837051
13,13,1100,1.26594466e-03,0.38513544
13,14,1150,1.15064131e-03,0.35744578
13,14,1200,1.03747812e-03,0.34814266
13,15,1250,9.27152762e-04,0.32548784
13,15,1300,8.20345443e-04,0.30889600
13,16,1350,7.17714662e-04,0.28494702
13,16,1400,6.19893171e-04,0.28151836
13,17,1450,5.27484073e-04,0.26967218
13,18,1500,4.41057099e-04,0.26534734
13,18,1550,3.61145103e-04,0.24119200
13,19,1600,2.88240766e-04,0.21840681
13,19,1650,2.22793569e-04,0.23167603
13,20,1700,1.65207016e-04,0.20825904
13,20,1750,1.15836147e-04,0.21762031
13,21,1800,7.49853492e-05,0.21773838
13,22,1850,4.29064819e-05,0.23546922
13,22,1900,1.97973219e-05,0.20722460
13,23,1950,5.80034474e-06,0.20424385
13,23,2000,1.00184656e-06,0.20703780
