seed,epoch,step,lr,train_loss
13,1,50,6.07129336e-04,5.48123143
13,2,100,1.22562866e-03,3.54743830
13,2,150,1.84412798e-03,3.27828530
13,3,200,2.46262730e-03,2.52620638
13,3,250,2.88150004e-03,2.37360854
13,4,300,2.83246447e-03,1.91461289
13,4,350,2.77520006e-03,1.76149004
13,5,400,2.71005986e-03,1.35586476
13,6,450,2.63744547e-03,1.03313789
13,6,500,2.55780460e-03,0.99838433
13,7,550,2.47162825e-03,0.84939349
13,7,600,2.37944774e-03,0.77448216
13,8,650,2.28183137e-03,0.66570625
13,8,700,2.17938100e-03,0.63665637
13,9,750,2.07272826e-03,0.55334860
13,10,800,1.96253069e-03,0.53559345
13,10,850,1.84946772e-03,0.47818866
13,11,900,1.73423640e-03,0.44332624
13,11,950,1.61754718e-03,0.42445699
13,12,1000,1.50011948e-03,0.37452458
13,12,1050,1.38267728e-03,0.37507535
13,13,1100,1.26594466e-03,0.35459765
13,14,1150,1.15064131e-03,0.31801531
13,14,1200,1.03747812e-03,0.30520106
13,15,1250,9.27152762e-04,0.26665858
13,15,1300,8.20345443e-04,0.27086614
13,16,1350,7.17714662e-04,0.24786694
13,16,1400,6.19893171e-04,0.25160671
13,17,1450,5.27484073e-04,0.24018675
13,18,1500,4.41057099e-04,0.20109860
13,18,1550,3.61145103e-04,0.21877773
13,19,1600,2.88240766e-04,0.20862613
13,19,1650,2.22793569e-04,0.20458483
13,20,1700,1.65207016e-04,0.19608059
13,20,1750,1.15836147e-04,0.19557502
13,21,1800,7.49853492e-05,0.19398101
13,22,1850,4.29064819e-05,0.21007308
13,22,1900,1.97973219e-05,0.19389005
13,23,1950,5.80034474e-06,0.18047653
13,23,2000,1.00184656e-06,0.18025356
