seed,epoch,step,lr,train_loss
13,1,88,1.07718882e-03,4.73750128
13,2,176,2.16574763e-03,2.45152741
13,3,264,2.86861798e-03,1.20739765
13,4,352,2.77274315e-03,0.66900291
13,5,440,2.65254544e-03,0.40615203
13,6,528,2.51031787e-03,0.25110065
13,7,616,2.34877375e-03,0.18683987
13,8,704,2.17099487e-03,0.12715951
13,9,792,1.98037275e-03,0.10115769
13,10,880,1.78054391e-03,0.07340245
13,11,968,1.57532052e-03,0.06576527
13,12,1056,1.36861766e-03,0.04690223
13,13,1144,1.16437862e-03,0.03979881
13,14,1232,9.66499712e-04,0.03561979
13,15,1320,7.78755892e-04,0.02987808
13,16,1408,6.04728781e-04,0.02807929
13,17,1496,4.47738318e-04,0.02535426
13,18,1584,3.10779435e-04,0.02184286
13,19,1672,1.96464915e-04,0.02218770
13,20,1760,1.06975555e-04,0.01994618
13,21,1848,4.40185556e-05,0.01961667
13,22,1936,8.79495743e-06,0.01793044
13,23,2000,1.00184656e-06,0.01762070
