seed,epoch,step,lr,train_loss
13,1,50,6.07129336e-04,5.46130053
13,2,100,1.22562866e-03,3.25292812
13,2,150,1.84412798e-03,2.70858582
13,3,200,2.46262730e-03,1.55925858
13,3,250,2.88150004e-03,1.26291274
13,4,300,2.83246447e-03,0.77890260
13,4,350,2.77520006e-03,0.67487907
13,5,400,2.71005986e-03,0.45472450
13,6,450,2.63744547e-03,0.31153598
13,6,500,2.55780460e-03,0.26883670
13,7,550,2.47162825e-03,0.18926490
13,7,600,2.37944774e-03,0.19239981
13,8,650,2.28183137e-03,0.13578847
13,8,700,2.17938100e-03,0.12785352
13,9,750,2.07272826e-03,0.10379482
13,10,800,1.96253069e-03,0.07894321
13,10,850,1.84946772e-03,0.07600415
13,11,900,1.73423640e-03,0.07323718
13,11,950,1.61754718e-03,0.06804529
13,12,1000,1.50011948e-03,0.04889474
13,12,1050,1.38267728e-03,0.04694539
13,13,1100,1.26594466e-03,0.04155910
13,14,1150,1.15064131e-03,0.04029287
13,14,1200,1.03747812e-03,0.03615438
13,15,1250,9.27152762e-04,0.03339526
13,15,1300,8.20345443e-04,0.02987665
13,16,1350,7.17714662e-04,0.02612027
13,16,1400,6.19893171e-04,0.02805596
13,17,1450,5.27484073e-04,0.02658810
13,18,1500,4.41057099e-04,0.02731706
13,18,1550,3.61145103e-04,0.02229570
13,19,1600,2.88240766e-04,0.02164895
13,19,1650,2.22793569e-04,0.02203936
13,20,1700,1.65207016e-04,0.01814606
13,20,1750,1.15836147e-04,0.01973976
13,21,1800,7.49853492e-05,0.01883794
13,22,1850,4.29064819e-05,0.01176349
13,22,1900,1.97973219e-05,0.01834841
13,23,1950,5.80034474e-06,0.01644535
13,23,2000,1.00184656e-06,0.01762070
