seed,epoch,step,lr,train_loss
13,1,50,6.07129336e-04,5.23268460
13,2,100,1.22562866e-03,3.17685185
13,2,150,1.84412798e-03,2.83171413
13,3,200,2.46262730e-03,2.08239680
13,3,250,2.88150004e-03,2.05214327
13,4,300,2.83246447e-03,1.51122488
13,4,350,2.77520006e-03,1.46075064
13,5,400,2.71005986e-03,1.28950725
13,6,450,2.63744547e-03,0.98507413
13,6,500,2.55780460e-03,0.95165360
13,7,550,2.47162825e-03,0.77488358
13,7,600,2.37944774e-03,0.74848729
13,8,650,2.28183137e-03,0.65281058
13,8,700,2.17938100e-03,0.62162126
13,9,750,2.07272826e-03,0.57174332
13,10,800,1.96253069e-03,0.51028017
13,10,850,1.84946772e-03,0.45951573
13,11,900,1.73423640e-03,0.43168508
13,11,950,1.61754718e-03,0.39962991
13,12,1000,1.50011948e-03,0.35981662
13,12,1050,1.38267728e-03,0.36203106
13,13,1100,1.26594466e-03,0.32337001
13,14,1150,1.15064131e-03,0.31318655
13,14,1200,1.03747812e-03,0.29348950
13,15,1250,9.27152762e-04,0.27060979
13,15,1300,8.20345443e-04,0.26479338
13,16,1350,7.17714662e-04,0.23019234
13,16,1400,6.19893171e-04,0.23437199
13,17,1450,5.27484073e-04,0.20871989
13,18,1500,4.41057099e-04,0.19782723
13,18,1550,3.61145103e-04,0.19422307
13,19,1600,2.88240766e-04,0.19488140
13,19,1650,2.22793569e-04,0.19862080
13,20,1700,1.65207016e-04,0.17062708
13,20,1750,1.15836147e-04,0.17454080
13,21,1800,7.49853492e-05,0.17225779
13,22,1850,4.29064819e-05,0.15706159
13,22,1900,1.97973219e-05,0.16590650
13,23,1950,5.80034474e-06,0.16660981
13,23,2000,1.00184656e-06,0.16370127
