seed,epoch,step,lr,train_loss
13,1,88,1.07718882e-03,4.93223311
13,2,176,2.16574763e-03,3.21657541
13,3,264,2.86861798e-03,2.28248583
13,4,352,2.77274315e-03,1.55020182
13,5,440,2.65254544e-03,1.17930569
13,6,528,2.51031787e-03,0.96279629
13,7,616,2.34877375e-03,0.74144858
13,8,704,2.17099487e-03,0.67009196
13,9,792,1.98037275e-03,0.56302951
13,10,880,1.78054391e-03,0.48459268
13,11,968,1.57532052e-03,0.45535873
13,12,1056,1.36861766e-03,0.39473790
13,13,1144,1.16437862e-03,0.36533757
13,14,1232,9.66499712e-04,0.31703032
13,15,1320,7.78755892e-04,0.29554599
13,16,1408,6.04728781e-04,0.27925758
13,17,1496,4.47738318e-04,0.25453471
13,18,1584,3.10779435e-04,0.23214160
13,19,1672,1.96464915e-04,0.22409766
13,20,1760,1.06975555e-04,0.21116118
13,21,1848,4.40185556e-05,0.20311281
13,22,1936,8.79495743e-06,0.20199395
13,23,2000,1.00184656e-06,0.19378313
