seed,epoch,step,lr,train_loss
13,1,50,6.07129336e-04,5.53989397
13,2,100,1.22562866e-03,3.61294115
13,2,150,1.84412798e-03,3.34513347
13,3,200,2.46262730e-03,2.50584849
13,3,250,2.88150004e-03,2.32591270
13,4,300,2.83246447e-03,1.74726901
13,4,350,2.77520006e-03,1.56017507
13,5,400,2.71005986e-03,1.26507544
13,6,450,2.63744547e-03,1.02415293
13,6,500,2.55780460e-03,0.99320055
13,7,550,2.47162825e-03,0.77956556
13,7,600,2.37944774e-03,0.74729390
13,8,650,2.28183137e-03,0.71964000
13,8,700,2.17938100e-03,0.66853617
13,9,750,2.07272826e-03,0.60161081
13,10,800,1.96253069e-03,0.51449503
13,10,850,1.84946772e-03,0.49771120
13,11,900,1.73423640e-03,0.51847328
13,11,950,1.61754718e-03,0.46585698
13,12,1000,1.50011948e-03,0.39991458
13,12,1050,1.38267728e-03,0.39549298
13,13,1100,1.26594466e-03,0.37668968
13,14,1150,1.15064131e-03,0.29988500
13,14,1200,1.03747812e-03,0.31444153
13,15,1250,9.27152762e-04,0.32174831
13,15,1300,8.20345443e-04,0.30223288
13,16,1350,7.17714662e-04,0.27932675
13,16,1400,6.19893171e-04,0.28340843
13,17,1450,5.27484073e-04,0.26054673
13,18,1500,4.41057099e-04,0.25430143
13,18,1550,3.61145103e-04,0.23619398
13,19,1600,2.88240766e-04,0.22530719
13,19,1650,2.22793569e-04,0.22352151
13,20,1700,1.65207016e-04,0.21186360
13,20,1750,1.15836147e-04,0.21406727
13,21,1800,7.49853492e-05,0.20827010
13,22,1850,4.29064819e-05,0.21921746
13,22,1900,1.97973219e-05,0.21089721
13,23,1950,5.80034474e-06,0.18688789
13,23,2000,1.00184656e-06,0.19378313
