seed,epoch,step,lr,train_loss
13,1,88,1.07718882e-03,1.76653337
13,2,176,2.16574763e-03,0.44261753
13,3,264,2.86861798e-03,0.26577835
13,4,352,2.77274315e-03,0.20594476
13,5,440,2.65254544e-03,0.15936791
13,6,528,2.51031787e-03,0.12943401
13,7,616,2.34877375e-03,0.13220582
13,8,704,2.17099487e-03,0.11074474
13,9,792,1.98037275e-03,0.08594410
13,10,880,1.78054391e-03,0.09572517
13,11,968,1.57532052e-03,0.08184189
13,12,1056,1.36861766e-03,0.07683561
13,13,1144,1.16437862e-03,0.07071165
13,14,1232,9.66499712e-04,0.06857071
13,15,1320,7.78755892e-04,0.06630113
13,16,1408,6.04728781e-04,0.06147775
13,17,1496,4.47738318e-04,0.05419678
13,18,1584,3.10779435e-04,0.05359769
13,19,1672,1.96464915e-04,0.05113169
13,20,1760,1.06975555e-04,0.04796578
13,21,1848,4.40185556e-05,0.04899003
13,22,1936,8.79495743e-06,0.04921876
13,23,2000,1.00184656e-06,0.04812957
