seed,epoch,step,lr,train_loss
13,1,50,6.07129336e-04,2.40207923
13,2,100,1.22562866e-03,0.62885292
13,2,150,1.84412798e-03,0.47780092
13,3,200,2.46262730e-03,0.29651054
13,3,250,2.88150004e-03,0.27468942
13,4,300,2.83246447e-03,0.22444964
13,4,350,2.77520006e-03,0.20654439
13,5,400,2.71005986e-03,0.16729952
13,6,450,2.63744547e-03,0.12995258
13,6,500,2.55780460e-03,0.12778356
13,7,550,2.47162825e-03,0.13856943
13,7,600,2.37944774e-03,0.13377479
13,8,650,2.28183137e-03,0.11166612
13,8,700,2.17938100e-03,0.11206226
13,9,750,2.07272826e-03,0.08988226
13,10,800,1.96253069e-03,0.09885703
13,10,850,1.84946772e-03,0.09896809
13,11,900,1.73423640e-03,0.08048271
13,11,950,1.61754718e-03,0.08375191
13,12,1000,1.50011948e-03,0.08422702
13,12,1050,1.38267728e-03,0.07687277
13,13,1100,1.26594466e-03,0.07161584
13,14,1150,1.15064131e-03,0.06585763
13,14,1200,1.03747812e-03,0.06860280
13,15,1250,9.27152762e-04,0.07397251
13,15,1300,8.20345443e-04,0.06645599
13,16,1350,7.17714662e-04,0.06409323
13,16,1400,6.19893171e-04,0.06159503
13,17,1450,5.27484073e-04,0.05488676
13,18,1500,4.41057099e-04,0.04618480
13,18,1550,3.61145103e-04,0.05538461
13,19,1600,2.88240766e-04,0.05774779
13,19,1650,2.22793569e-04,0.05125674
13,20,1700,1.65207016e-04,0.04518655
13,20,1750,1.15836147e-04,0.04791492
13,21,1800,7.49853492e-05,0.04876030
13,22,1850,4.29064819e-05,0.05397534
13,22,1900,1.97973219e-05,0.05097945
13,23,1950,5.80034474e-06,0.04560831
13,23,2000,1.00184656e-06,0.04812957
