seed,epoch,step,lr,train_loss
13,1,50,6.07129336e-04,5.50749269
13,2,100,1.22562866e-03,3.58423936
13,2,150,1.84412798e-03,3.25127627
13,3,200,2.46262730e-03,2.34310136
13,3,250,2.88150004e-03,2.09639895
13,4,300,2.83246447e-03,1.58168999
13,4,350,2.77520006e-03,1.47441419
13,5,400,2.71005986e-03,1.16052765
13,6,450,2.63744547e-03,0.98068960
13,6,500,2.55780460e-03,0.86375404
13,7,550,2.47162825e-03,0.73146523
13,7,600,2.37944774e-03,0.68362638
13,8,650,2.28183137e-03,0.63130463
13,8,700,2.17938100e-03,0.59192331
13,9,750,2.07272826e-03,0.52435520
13,10,800,1.96253069e-03,0.45602887
13,10,850,1.84946772e-03,0.43824785
13,11,900,1.73423640e-03,0.36397230
13,11,950,1.61754718e-03,0.35853287
13,12,1000,1.50011948e-03,0.31374768
13,12,1050,1.38267728e-03,0.31329131
13,13,1100,1.26594466e-03,0.28467877
13,14,1150,1.15064131e-03,0.25173263
13,14,1200,1.03747812e-03,0.25378692
13,15,1250,9.27152762e-04,0.24787598
13,15,1300,8.20345443e-04,0.24723728
13,16,1350,7.17714662e-04,0.23921691
13,16,1400,6.19893171e-04,0.22952238
13,17,1450,5.27484073e-04,0.20680328
13,18,1500,4.41057099e-04,0.18324846
13,18,1550,3.61145103e-04,0.18197966
13,19,1600,2.88240766e-04,0.17376842
13,19,1650,2.22793569e-04,0.17390831
13,20,1700,1.65207016e-04,0.16038756
13,20,1750,1.15836147e-04,0.16253504
13,21,1800,7.49853492e-05,0.15994993
13,22,1850,4.29064819e-05,0.15160796
13,22,1900,1.97973219e-05,0.15929271
13,23,1950,5.80034474e-06,0.15349193
13,23,2000,1.00184656e-06,0.15666457
