seed,epoch,step,lr,train_loss
13,1,88,1.07718882e-03,4.92111894
13,2,176,2.16574763e-03,3.19234734
13,3,264,2.86861798e-03,2.16517191
13,4,352,2.77274315e-03,1.48045231
13,5,440,2.65254544e-03,1.12704477
13,6,528,2.51031787e-03,0.89353672
13,7,616,2.34877375e-03,0.78172343
13,8,704,2.17099487e-03,0.67646489
13,9,792,1.98037275e-03,0.59364380
13,10,880,1.78054391e-03,0.49896355
13,11,968,1.57532052e-03,0.44588986
13,12,1056,1.36861766e-03,0.42054485
13,13,1144,1.16437862e-03,0.37473259
13,14,1232,9.66499712e-04,0.33036851
13,15,1320,7.78755892e-04,0.30550632
13,16,1408,6.04728781e-04,0.28085128
13,17,1496,4.47738318e-04,0.25757339
13,18,1584,3.10779435e-04,0.23586438
13,19,1672,1.96464915e-04,0.22561365
13,20,1760,1.06975555e-04,0.21141688
13,21,1848,4.40185556e-05,0.20280054
13,22,1936,8.79495743e-06,0.19916363
13,23,2000,1.00184656e-06,0.19307153
