seed,epoch,step,lr,train_loss
13,1,50,6.07129336e-04,5.52749550
13,2,100,1.22562866e-03,3.69314692
13,2,150,1.84412798e-03,3.36261134
13,3,200,2.46262730e-03,2.39096243
13,3,250,2.88150004e-03,2.23462834
13,4,300,2.83246447e-03,1.66274295
13,4,350,2.77520006e-03,1.49051244
13,5,400,2.71005986e-03,1.12785855
13,6,450,2.63744547e-03,1.04850171
13,6,500,2.55780460e-03,0.92702288
13,7,550,2.47162825e-03,0.87190869
13,7,600,2.37944774e-03,0.79023063
13,8,650,2.28183137e-03,0.68694074
13,8,700,2.17938100e-03,0.68098758
13,9,750,2.07272826e-03,0.57898427
13,10,800,1.96253069e-03,0.58163097
13,10,850,1.84946772e-03,0.51705226
13,11,900,1.73423640e-03,0.46148780
13,11,950,1.61754718e-03,0.46060156
13,12,1000,1.50011948e-03,0.39112410
13,12,1050,1.38267728e-03,0.41560236
13,13,1100,1.26594466e-03,0.40153245
13,14,1150,1.15064131e-03,0.32014664
13,14,1200,1.03747812e-03,0.33100053
13,15,1250,9.27152762e-04,0.31671041
13,15,1300,8.20345443e-04,0.31070669
13,16,1350,7.17714662e-04,0.27872741
13,16,1400,6.19893171e-04,0.28345730
13,17,1450,5.27484073e-04,0.26184622
13,18,1500,4.41057099e-04,0.26017179
13,18,1550,3.61145103e-04,0.24828261
13,19,1600,2.88240766e-04,0.22388221
13,19,1650,2.22793569e-04,0.22629800
13,20,1700,1.65207016e-04,0.21101126
13,20,1750,1.15836147e-04,0.21471083
13,21,1800,7.49853492e-05,0.20814539
13,22,1850,4.29064819e-05,0.20464498
13,22,1900,1.97973219e-05,0.20391935
13,23,1950,5.80034474e-06,0.19142362
13,23,2000,1.00184656e-06,0.19307153
