seed,epoch,step,lr,train_loss
13,1,88,1.23213841e-04,5.89360188
13,2,176,2.46832438e-04,4.31607111
13,3,264,3.70451036e-04,3.60267513
13,4,352,4.94069633e-04,3.08680318
13,5,440,6.17688231e-04,2.66128834
13,6,528,7.41306828e-04,2.34392901
13,7,616,8.64925426e-04,2.04921900
13,8,704,9.88544023e-04,1.77103676
13,9,792,1.11216262e-03,1.55886715
13,10,880,1.23578122e-03,1.38972088
13,11,968,1.35939982e-03,1.22401921
13,12,1056,1.48301841e-03,1.07857824
13,13,1144,1.60663701e-03,0.96089384
13,14,1232,1.73025561e-03,0.90280567
13,15,1320,1.85387421e-03,0.80695973
13,16,1408,1.97749280e-03,0.71995310
13,17,1496,2.10111140e-03,0.65511116
13,18,1584,2.22473000e-03,0.62359215
13,19,1672,2.34834860e-03,0.57709793
13,20,1760,2.47196719e-03,0.53750467
13,21,1848,2.59558579e-03,0.50589080
13,22,1936,2.71920439e-03,0.45408510
13,23,2024,2.84282299e-03,0.47620524
13,24,2112,2.96644158e-03,0.41453261
13,25,2200,2.88070423e-03,0.45132825
13,26,2288,2.87154053e-03,0.39753242
13,27,2376,2.86203787e-03,0.37716383
13,28,2464,2.85219860e-03,0.38149645
13,29,2552,2.84202514e-03,0.34136825
13,30,2640,2.83152001e-03,0.34874968
13,31,2728,2.82068579e-03,0.30647921
13,32,2816,2.80952516e-03,0.28945185
13,33,2904,2.79804088e-03,0.29408909
13,34,2992,2.78623577e-03,0.26710631
13,35,3080,2.77411276e-03,0.26624193
13,36,3168,2.76167482e-03,0.24934819
13,37,3256,2.74892504e-03,0.23270564
13,38,3344,2.73586655e-03,0.22836638
13,39,3432,2.72250258e-03,0.22018135
13,40,3520,2.70883642e-03,0.20900832
13,41,3608,2.69487145e-03,0.21330142
13,42,3696,2.68061111e-03,0.19575948
13,43,3784,2.66605893e-03,0.19714417
13,44,3872,2.65121849e-03,0.19107006
13,45,3960,2.63609345e-03,0.17908136
13,46,4048,2.62068754e-03,0.18046350
13,47,4136,2.60500457e-03,0.17878018
13,48,4224,2.58904841e-03,0.17024746
13,49,4312,2.57282299e-03,0.15808009
13,50,4400,2.55633232e-03,0.15988699
13,51,4488,2.53958046e-03,0.16143717
13,52,4576,2.52257155e-03,0.16015857
13,53,4664,2.50530979e-03,0.14589501
13,54,4752,2.48779943e-03,0.14389757
13,55,4840,2.47004479e-03,0.14331091
13,56,4928,2.45205026e-03,0.14102883
13,57,5016,2.43382028e-03,0.13577649
13,58,5104,2.41535934e-03,0.12964292
13,59,5192,2.39667199e-03,0.12818846
13,60,5280,2.37776286e-03,0.12284414
13,61,5368,2.35863660e-03,0.12920013
13,62,5456,2.33929793e-03,0.12117673
13,63,5544,2.31975163e-03,0.12328293
13,64,5632,2.30000252e-03,0.11920879
13,65,5720,2.28005547e-03,0.11856444
13,66,5808,2.25991540e-03,0.11480950
13,67,5896,2.23958728e-03,0.11301306
13,68,5984,2.21907613e-03,0.11141731
13,69,6072,2.19838701e-03,0.11669812
13,70,6160,2.17752502e-03,0.10662577
13,71,6248,2.15649531e-03,0.11337443
13,72,6336,2.13530307e-03,0.10875769
13,73,6424,2.11395352e-03,0.10473423
13,74,6512,2.09245195e-03,0.09994577
13,75,6600,2.07080364e-03,0.10072343
13,76,6688,2.04901394e-03,0.10287152
13,77,6776,2.02708824e-03,0.10015887
13,78,6864,2.00503193e-03,0.09478040
13,79,6952,1.98285046e-03,0.08936236
13,80,7040,1.96054931e-03,0.09571759
13,81,7128,1.93813397e-03,0.09380472
13,82,7216,1.91560998e-03,0.09264013
13,83,7304,1.89298289e-03,0.09016257
13,84,7392,1.87025829e-03,0.09395460
13,85,7480,1.84744178e-03,0.09247121
13,86,7568,1.82453899e-03,0.08735391
13,87,7656,1.80155558e-03,0.08567641
13,88,7744,1.77849722e-03,0.08560933
13,89,7832,1.75536959e-03,0.08902514
13,90,7920,1.73217840e-03,0.08717152
13,91,8008,1.70892937e-03,0.08719165
13,92,8096,1.68562824e-03,0.08504566
13,93,8184,1.66228076e-03,0.08311201
13,94,8272,1.63889269e-03,0.08189883
